"edon","disloc2017","disloc2015","esc1","esc3","dsi_pob","pobtot"
26,6,6,3,3,0.950071293868727,1735
26,7,7,4,4,1,1617
26,3,3,2,2,1,1190
26,6,6,14,14,0.983348210933785,2356
26,4,4,15,15,1,2916
26,18,18,1,3,0.950071293868727,489
26,8,8,8,8,1,8715
26,8,8,7,7,1,5008
26,8,8,5,5,1,2959
26,10,10,10,10,1,1017
26,9,9,9,9,1,2040
26,11,11,6,6,1,15592
26,2,2,16,16,1,5220
26,1,1,17,17,1,510
26,14,14,18,18,1,330
26,18,18,12,12,1,2398
26,17,17,13,13,1,1400
26,16,16,11,11,1,17555
26,13,13,19,19,1,5920
26,20,20,20,20,1,1967
26,19,19,21,21,1,2627
