"edon","disloc2018","disloc2012","esc1","esc3","dsi_pob","pobtot"
4,11,2,9,11,0.28851283160323,730
4,11,1,9,11,0.28851283160323,1276
4,7,7,7,7,0.122314049586777,7054
4,7,3,7,7,0.122314049586777,2817
4,9,5,9,9,0.371582049464692,753
4,6,4,13,6,0.93917622036624,1182
4,9,6,6,9,0.371582049464692,2902
4,1,17,1,1,0.955111196873945,2181
4,3,19,3,3,0.955485923409955,754
4,15,11,14,15,0.301426920164215,7130
4,15,10,19,15,0.301426920164215,3472
4,12,9,17,12,0.644325035639873,1834
4,17,8,18,17,0.428312562405237,1002
4,14,12,16,14,0.276773739270386,3209
4,14,20,16,14,0.276773739270386,1589
4,4,14,4,4,1,3519
4,21,15,11,21,0.978893916056989,951
4,20,16,12,20,0.979257822662662,2002
4,18,21,21,18,1,2711
4,2,18,2,2,1,2426
4,19,13,20,19,1,3785
