"seccion","munn","edon","disloc2018","disloc2010","pobtot","esc1","esc3","urbana","rural","mixta","SQ","dsi_pob","prop_urbana","prop_rural","prop_mixta","SQ_","dsi_sec"
1,1,20,1,3,1172,16,1,1,0,0,16,0.483,0.325,0.325,0.349,16,0.655
2,2,20,2,25,977,13,2,0,0,1,13,1,0.196,0.636,0.168,13,1
35,3,20,3,22,1644,3,3,1,0,0,23,0.32,0.96,0,0.04,23,0.386
39,4,20,4,20,1156,17,4,0,0,1,17,0.466,0.056,0.618,0.326,17,0.437
42,5,20,5,15,1012,14,5,0,0,1,14,1,0.248,0.512,0.24,14,1
43,6,20,6,5,885,5,6,1,0,0,5,0.95,0.446,0.23,0.324,5,0.953
57,7,20,7,16,3918,4,7,0,0,1,1,0.196,0.109,0.391,0.5,1,0.319
65,8,20,3,19,1070,2,3,1,0,0,23,0.32,0.421,0.263,0.316,23,0.386
68,9,20,8,4,540,20,8,1,0,0,20,0.713,0.436,0.3,0.264,20,0.679
70,10,20,3,19,1851,23,3,0,0,1,23,0.32,0.421,0.263,0.316,23,0.386
74,11,20,9,18,2003,22,9,1,0,0,17,0.25,0.478,0.368,0.154,17,0.308
90,14,20,10,8,2459,11,10,0,0,1,19,0.391,0.074,0.574,0.351,19,0.311
97,15,20,11,23,1481,18,11,1,0,0,18,0.635,0.592,0.125,0.283,18,0.631
104,16,20,12,13,1713,7,12,1,0,0,7,0.556,0.077,0.429,0.495,7,0.509
113,18,20,13,10,1404,19,13,1,0,0,19,0.222,0.107,0.536,0.357,19,0.295
117,19,20,14,21,1861,8,14,1,0,0,8,0.787,0.171,0.638,0.19,8,0.746
125,21,20,7,14,334,1,7,0,0,1,1,0.196,0.219,0.328,0.453,1,0.319
180,30,20,17,5,1044,15,17,0,0,1,15,0.786,0.446,0.23,0.324,15,0.724
396,56,20,21,11,1451,10,21,0,0,1,10,0.696,0.225,0.441,0.333,10,0.64
461,64,20,20,4,720,12,20,0,0,1,2,0.432,0.436,0.3,0.264,2,0.358
470,66,20,25,22,8738,24,25,1,0,0,24,0.99,0.96,0,0.04,24,0.987
484,66,20,24,1,1700,25,24,1,0,0,25,0.99,0.874,0.025,0.101,25,0.987
668,75,20,20,4,1383,9,20,1,0,0,2,0.432,0.436,0.3,0.264,2,0.358
908,150,20,13,9,773,21,13,0,0,1,19,0.222,0.206,0.317,0.476,19,0.295
1010,182,20,19,18,7866,6,19,1,0,0,6,1,0.478,0.368,0.154,6,1
