"","edon.x","disloc2015.x","escenario1","dsi_SQ_E1_sec","edon.y","disloc2018","disloc2015.y","escenario3","dsi_SQ_E1_pob","pob_total"
"1",6,1,15,0.581,6,6,1,11,0.481335534373502,5884
"2",6,6,15,0.581,6,6,1,11,0.481335534373502,5884
"3",6,2,16,0.593,6,2,2,12,0.492720371151413,1916
"4",6,5,16,0.593,6,2,2,12,0.492720371151413,1916
"5",6,3,16,0.593,6,2,2,12,0.492720371151413,1916
"6",6,2,16,0.593,6,2,5,12,0.492720371151413,295
"7",6,5,16,0.593,6,2,5,12,0.492720371151413,295
"8",6,3,16,0.593,6,2,5,12,0.492720371151413,295
"9",6,2,16,0.593,6,1,3,9,0.492720371151413,906
"10",6,5,16,0.593,6,1,3,9,0.492720371151413,906
"11",6,3,16,0.593,6,1,3,9,0.492720371151413,906
"12",6,4,1,0.333,6,4,4,14,0.350421760493703,2841
"13",6,1,15,0.581,6,6,6,11,0.481335534373502,2463
"14",6,6,15,0.581,6,6,6,11,0.481335534373502,2463
"15",6,7,4,0.3,6,7,7,15,0.489703556953053,7725
"16",6,8,5,0.683,6,8,8,16,0.744193359047459,3320
"17",6,9,2,0.636,6,9,9,1,0.637871980783773,2457
"18",6,13,8,0.486,6,13,13,4,0.444468696569537,463
"19",6,12,8,0.486,6,13,13,4,0.444468696569537,463
"20",6,14,7,0.2,6,14,14,2,0.233621315858616,572
"21",6,11,7,0.2,6,14,14,2,0.233621315858616,572
"22",6,14,7,0.2,6,14,11,2,0.233621315858616,2221
"23",6,11,7,0.2,6,14,11,2,0.233621315858616,2221
"24",6,13,8,0.486,6,12,12,3,0.444468696569537,721
"25",6,12,8,0.486,6,12,12,3,0.444468696569537,721
"26",6,10,10,0.333,6,10,10,6,0.310306514761384,4006
"27",6,15,10,0.333,6,10,10,6,0.310306514761384,4006
"28",6,10,10,0.333,6,10,15,6,0.310306514761384,10229
"29",6,15,10,0.333,6,10,15,6,0.310306514761384,10229
"30",6,16,12,0.3,6,16,16,7,0.260863023088626,917
